[00:00:47] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806537, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:47] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806537, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806639, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806639, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806641, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806641, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806642, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806642, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:50] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806706, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:50] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806706, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806808, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806808, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806810, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806810, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806811, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806811, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:52] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806874, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:00:52] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4806874, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807904, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807904, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807906, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807906, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807907, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807907, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807973, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4807973, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808080, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808080, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808082, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808082, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808083, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808083, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808149, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808149, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808257, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808257, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808258, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808258, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808259, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808259, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808260, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808260, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808261, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
[00:01:10] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/4808261, l='ServerLevel[world]', x=-48.50, y=214.02, z=245.51]
